1 saved {'val_OrigRecLoss': 0.00049, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_Z': 0.64749, 'val_kl_Loss_FC': 2e-05}
2 saved {'val_OrigRecLoss': 0.00045, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.50861, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.00044, 'val_FeatRecLoss': 0.0002, 'val_kl_Loss_Z': 0.72057, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.82667, 'val_kl_Loss_FC': 0.0}
5 not saved {'val_OrigRecLoss': 0.00045, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.6201, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00019, 'val_kl_Loss_Z': 0.55523, 'val_kl_Loss_FC': 2e-05}
7 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.54281, 'val_kl_Loss_FC': 2e-05}
8 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.54337, 'val_kl_Loss_FC': 2e-05}
9 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.52578, 'val_kl_Loss_FC': 1e-05}
10 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.50832, 'val_kl_Loss_FC': 0.0}
11 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.513, 'val_kl_Loss_FC': 1e-05}
12 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.51713, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.49653, 'val_kl_Loss_FC': 0.0}
14 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.49883, 'val_kl_Loss_FC': 0.0}
15 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.48854, 'val_kl_Loss_FC': 2e-05}
16 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.4928, 'val_kl_Loss_FC': 0.0}
17 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.48827, 'val_kl_Loss_FC': 1e-05}
18 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.46191, 'val_kl_Loss_FC': 0.0}
19 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.46615, 'val_kl_Loss_FC': 1e-05}
20 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.47259, 'val_kl_Loss_FC': 1e-05}
21 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.46955, 'val_kl_Loss_FC': 1e-05}
22 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00018, 'val_kl_Loss_Z': 0.49657, 'val_kl_Loss_FC': 0.0}
23 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00017, 'val_kl_Loss_Z': 0.45316, 'val_kl_Loss_FC': 1e-05}
