39 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.31711, 'val_kl_Loss_FC': 1e-05}
40 not saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31784, 'val_kl_Loss_FC': 0.0}
41 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.30114, 'val_kl_Loss_FC': 0.0}
42 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30206, 'val_kl_Loss_FC': 1e-05}
43 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31235, 'val_kl_Loss_FC': 1e-05}
44 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.35566, 'val_kl_Loss_FC': 0.0}
45 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30217, 'val_kl_Loss_FC': 1e-05}
46 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.29714, 'val_kl_Loss_FC': 0.0}
47 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30848, 'val_kl_Loss_FC': 1e-05}
48 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30529, 'val_kl_Loss_FC': 0.0}
49 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30266, 'val_kl_Loss_FC': 0.0}
50 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.29488, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30807, 'val_kl_Loss_FC': 1e-05}
52 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30487, 'val_kl_Loss_FC': 1e-05}
53 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30081, 'val_kl_Loss_FC': 1e-05}
54 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.28999, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.31643, 'val_kl_Loss_FC': 0.0}
56 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28398, 'val_kl_Loss_FC': 1e-05}
57 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30312, 'val_kl_Loss_FC': 0.0}
58 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.28293, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.29456, 'val_kl_Loss_FC': 0.0}
60 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.27356, 'val_kl_Loss_FC': 0.0}
61 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28133, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.27695, 'val_kl_Loss_FC': 0.0}
63 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.2957, 'val_kl_Loss_FC': 1e-05}
64 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.29753, 'val_kl_Loss_FC': 1e-05}
65 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.39633, 'val_kl_Loss_FC': 0.0}
66 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31618, 'val_kl_Loss_FC': 1e-05}
67 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.32011, 'val_kl_Loss_FC': 0.0}
68 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31457, 'val_kl_Loss_FC': 1e-05}
69 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31897, 'val_kl_Loss_FC': 0.0}
70 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31678, 'val_kl_Loss_FC': 0.0}
71 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.33882, 'val_kl_Loss_FC': 0.0}
72 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30558, 'val_kl_Loss_FC': 1e-05}
73 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.29586, 'val_kl_Loss_FC': 1e-05}
74 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.29756, 'val_kl_Loss_FC': 1e-05}
75 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28929, 'val_kl_Loss_FC': 1e-05}
76 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.28987, 'val_kl_Loss_FC': 0.0}
77 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.2906, 'val_kl_Loss_FC': 1e-05}
78 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.30218, 'val_kl_Loss_FC': 0.0}
79 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.2948, 'val_kl_Loss_FC': 0.0}
80 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.28001, 'val_kl_Loss_FC': 1e-05}
81 not saved {'val_OrigRecLoss': 0.00319, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.41302, 'val_kl_Loss_FC': 0.0}
82 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.32062, 'val_kl_Loss_FC': 0.0}
83 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.30832, 'val_kl_Loss_FC': 1e-05}
84 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28468, 'val_kl_Loss_FC': 0.0}
85 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.27583, 'val_kl_Loss_FC': 0.0}
86 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28113, 'val_kl_Loss_FC': 0.0}
87 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.26984, 'val_kl_Loss_FC': 0.0}
88 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31464, 'val_kl_Loss_FC': 1e-05}
89 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.27399, 'val_kl_Loss_FC': 0.0}
90 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.26625, 'val_kl_Loss_FC': 0.0}
91 saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.28846, 'val_kl_Loss_FC': 1e-05}
92 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.29001, 'val_kl_Loss_FC': 0.0}
93 not saved {'val_OrigRecLoss': 0.00314, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.2847, 'val_kl_Loss_FC': 0.0}
94 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.28987, 'val_kl_Loss_FC': 1e-05}
95 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31252, 'val_kl_Loss_FC': 0.0}
96 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.28855, 'val_kl_Loss_FC': 1e-05}
97 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.29648, 'val_kl_Loss_FC': 1e-05}
98 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.31087, 'val_kl_Loss_FC': 0.0}
99 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31212, 'val_kl_Loss_FC': 0.0}
100 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.33546, 'val_kl_Loss_FC': 1e-05}
101 saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.30391, 'val_kl_Loss_FC': 0.0}
102 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.3035, 'val_kl_Loss_FC': 0.0}
103 not saved {'val_OrigRecLoss': 0.00313, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.30059, 'val_kl_Loss_FC': 0.0}
104 saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31358, 'val_kl_Loss_FC': 0.0}
105 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.29867, 'val_kl_Loss_FC': 1e-05}
106 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.30759, 'val_kl_Loss_FC': 0.0}
107 saved {'val_OrigRecLoss': 0.00311, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.3181, 'val_kl_Loss_FC': 1e-05}
108 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_Z': 0.30457, 'val_kl_Loss_FC': 0.0}
109 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31804, 'val_kl_Loss_FC': 1e-05}
110 saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.30911, 'val_kl_Loss_FC': 1e-05}
111 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.31366, 'val_kl_Loss_FC': 1e-05}
112 not saved {'val_OrigRecLoss': 0.0031, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.32224, 'val_kl_Loss_FC': 1e-05}
113 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.32544, 'val_kl_Loss_FC': 0.0}
114 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.34877, 'val_kl_Loss_FC': 0.0}
115 saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.35706, 'val_kl_Loss_FC': 0.0}
116 saved {'val_OrigRecLoss': 0.00308, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.36072, 'val_kl_Loss_FC': 0.0}
117 saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.37469, 'val_kl_Loss_FC': 0.0}
118 saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.37391, 'val_kl_Loss_FC': 0.0}
119 saved {'val_OrigRecLoss': 0.00307, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.39753, 'val_kl_Loss_FC': 1e-05}
120 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.38203, 'val_kl_Loss_FC': 1e-05}
121 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.39292, 'val_kl_Loss_FC': 1e-05}
122 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.39035, 'val_kl_Loss_FC': 0.0}
123 saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_Z': 0.38573, 'val_kl_Loss_FC': 0.0}
124 saved {'val_OrigRecLoss': 0.00304, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.3857, 'val_kl_Loss_FC': 1e-05}
125 not saved {'val_OrigRecLoss': 0.00305, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.41995, 'val_kl_Loss_FC': 0.0}
126 saved {'val_OrigRecLoss': 0.00303, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.4022, 'val_kl_Loss_FC': 0.0}
127 saved {'val_OrigRecLoss': 0.00303, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.41278, 'val_kl_Loss_FC': 1e-05}
128 saved {'val_OrigRecLoss': 0.00302, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.416, 'val_kl_Loss_FC': 0.0}
129 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.43235, 'val_kl_Loss_FC': 1e-05}
130 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.44473, 'val_kl_Loss_FC': 1e-05}
131 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.44609, 'val_kl_Loss_FC': 0.0}
132 saved {'val_OrigRecLoss': 0.003, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.45582, 'val_kl_Loss_FC': 0.0}
133 saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.4683, 'val_kl_Loss_FC': 0.0}
134 not saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.47753, 'val_kl_Loss_FC': 0.0}
135 saved {'val_OrigRecLoss': 0.00297, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.4951, 'val_kl_Loss_FC': 1e-05}
136 saved {'val_OrigRecLoss': 0.00297, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.52594, 'val_kl_Loss_FC': 0.0}
137 saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00194, 'val_kl_Loss_Z': 0.55101, 'val_kl_Loss_FC': 0.0}
138 not saved {'val_OrigRecLoss': 0.00296, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.54196, 'val_kl_Loss_FC': 0.0}
139 saved {'val_OrigRecLoss': 0.00295, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.57851, 'val_kl_Loss_FC': 1e-05}
140 saved {'val_OrigRecLoss': 0.00295, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.58085, 'val_kl_Loss_FC': 1e-05}
141 saved {'val_OrigRecLoss': 0.00294, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.58366, 'val_kl_Loss_FC': 0.0}
142 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 0.59334, 'val_kl_Loss_FC': 0.0}
143 saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.60424, 'val_kl_Loss_FC': 1e-05}
144 not saved {'val_OrigRecLoss': 0.00293, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.5965, 'val_kl_Loss_FC': 1e-05}
145 saved {'val_OrigRecLoss': 0.00292, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.63544, 'val_kl_Loss_FC': 0.0}
146 saved {'val_OrigRecLoss': 0.00291, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.6253, 'val_kl_Loss_FC': 0.0}
147 saved {'val_OrigRecLoss': 0.0029, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.62367, 'val_kl_Loss_FC': 0.0}
148 saved {'val_OrigRecLoss': 0.00288, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.61939, 'val_kl_Loss_FC': 1e-05}
149 not saved {'val_OrigRecLoss': 0.00289, 'val_FeatRecLoss': 0.00192, 'val_kl_Loss_Z': 0.64355, 'val_kl_Loss_FC': 1e-05}
150 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.64031, 'val_kl_Loss_FC': 1e-05}
151 saved {'val_OrigRecLoss': 0.00287, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.6647, 'val_kl_Loss_FC': 1e-05}
152 saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.68919, 'val_kl_Loss_FC': 0.0}
153 saved {'val_OrigRecLoss': 0.00285, 'val_FeatRecLoss': 0.00191, 'val_kl_Loss_Z': 0.69503, 'val_kl_Loss_FC': 0.0}
154 saved {'val_OrigRecLoss': 0.00285, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.72313, 'val_kl_Loss_FC': 1e-05}
155 saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.72701, 'val_kl_Loss_FC': 0.0}
156 saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.75118, 'val_kl_Loss_FC': 0.0}
157 saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.7764, 'val_kl_Loss_FC': 0.0}
158 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.77713, 'val_kl_Loss_FC': 0.0}
159 not saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.78188, 'val_kl_Loss_FC': 0.0}
160 saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.8022, 'val_kl_Loss_FC': 0.0}
161 saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.80364, 'val_kl_Loss_FC': 1e-05}
162 saved {'val_OrigRecLoss': 0.00281, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_Z': 0.82635, 'val_kl_Loss_FC': 1e-05}
163 saved {'val_OrigRecLoss': 0.0028, 'val_FeatRecLoss': 0.0019, 'val_kl_Loss_Z': 0.83341, 'val_kl_Loss_FC': 0.0}
164 saved {'val_OrigRecLoss': 0.00279, 'val_FeatRecLoss': 0.00187, 'val_kl_Loss_Z': 0.83099, 'val_kl_Loss_FC': 0.0}
165 not saved {'val_OrigRecLoss': 0.00279, 'val_FeatRecLoss': 0.00189, 'val_kl_Loss_Z': 0.84648, 'val_kl_Loss_FC': 1e-05}
166 saved {'val_OrigRecLoss': 0.00278, 'val_FeatRecLoss': 0.00188, 'val_kl_Loss_Z': 0.8624, 'val_kl_Loss_FC': 1e-05}
