51 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
52 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
53 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 2e-05}
54 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
56 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
57 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
61 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
63 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
65 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
66 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
67 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
68 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
69 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
70 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
71 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
72 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
73 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
74 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
75 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
76 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
77 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
79 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
80 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
81 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
82 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
83 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
84 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 0.0}
85 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
86 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
87 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
88 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
89 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
90 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
91 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
92 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
93 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
94 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
95 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
96 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
97 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
98 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
99 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
100 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
101 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
102 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 2e-05}
103 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
104 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
105 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
106 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
107 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
108 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
109 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
110 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
111 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
112 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
113 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
114 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
115 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
116 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
117 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
118 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
119 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
120 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
121 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
122 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
123 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
124 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_FC': 1e-05}
125 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
126 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
127 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
128 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
129 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
130 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
131 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
132 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
133 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 1e-05}
134 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_FC': 0.0}
