52 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
53 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
54 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 1e-05}
56 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 0.0}
57 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 0.0}
58 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
59 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
60 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
61 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_FC': 2e-05}
62 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
63 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
65 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 1e-05}
66 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
67 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 0.0}
68 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 0.0}
69 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
70 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 1e-05}
71 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 0.0}
72 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00196, 'val_kl_Loss_FC': 0.0}
73 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
74 not saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 0.0}
75 saved {'val_OrigRecLoss': 0.00315, 'val_FeatRecLoss': 0.00195, 'val_kl_Loss_FC': 1e-05}
