39 not saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.19579, 'val_kl_Loss_FC': 0.0}
40 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.19679, 'val_kl_Loss_FC': 0.0}
41 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.18912, 'val_kl_Loss_FC': 0.0}
42 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.2003, 'val_kl_Loss_FC': 0.0}
43 not saved {'val_OrigRecLoss': 0.00318, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18976, 'val_kl_Loss_FC': 0.0}
44 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.19337, 'val_kl_Loss_FC': 0.0}
45 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.1948, 'val_kl_Loss_FC': 1e-05}
46 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.19391, 'val_kl_Loss_FC': 0.0}
47 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.1894, 'val_kl_Loss_FC': 0.0}
48 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.1966, 'val_kl_Loss_FC': 1e-05}
49 saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.19335, 'val_kl_Loss_FC': 0.0}
50 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.19566, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.19145, 'val_kl_Loss_FC': 0.0}
52 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18955, 'val_kl_Loss_FC': 0.0}
53 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.19599, 'val_kl_Loss_FC': 0.0}
54 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_Z': 0.19023, 'val_kl_Loss_FC': 1e-05}
55 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18579, 'val_kl_Loss_FC': 0.0}
56 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.1831, 'val_kl_Loss_FC': 0.0}
57 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.21776, 'val_kl_Loss_FC': 0.0}
58 saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 0.18204, 'val_kl_Loss_FC': 1e-05}
59 not saved {'val_OrigRecLoss': 0.00316, 'val_FeatRecLoss': 0.00117, 'val_kl_Loss_Z': 0.18003, 'val_kl_Loss_FC': 0.0}
