51 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.40643}
52 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.28895}
53 not saved {'val_OrigRecLoss': 0.00043, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.30653}
54 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.25556}
55 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.2481}
56 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.23707}
57 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.24285}
58 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.22331}
59 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.19539}
60 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.27586}
61 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.44204}
62 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.14543}
63 saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 2.13638}
64 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.08663}
65 not saved {'val_OrigRecLoss': 0.00042, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.02882}
66 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.03428}
67 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.0545}
68 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.02205}
69 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 2.10049}
70 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 5e-05, 'val_kl_Loss_Z': 1.92762}
71 not saved {'val_OrigRecLoss': 0.00041, 'val_FeatRecLoss': 4e-05, 'val_kl_Loss_Z': 1.97819}
