1 saved {'val_OrigRecLoss': 0.00354, 'val_FeatRecLoss': 0.0014, 'val_kl_Loss_Z': 1.43226, 'val_kl_Loss_FC': 0.00015}
2 saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00135, 'val_kl_Loss_Z': 1.84574, 'val_kl_Loss_FC': 0.00036}
3 saved {'val_OrigRecLoss': 0.00327, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 2.35252, 'val_kl_Loss_FC': 0.0001}
4 saved {'val_OrigRecLoss': 0.00325, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 1.91182, 'val_kl_Loss_FC': 0.00012}
5 not saved {'val_OrigRecLoss': 0.00327, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 1.97653, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 1.72434, 'val_kl_Loss_FC': 4e-05}
7 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 1.52269, 'val_kl_Loss_FC': 1e-05}
8 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 1.40318, 'val_kl_Loss_FC': 6e-05}
9 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00129, 'val_kl_Loss_Z': 1.26195, 'val_kl_Loss_FC': 6e-05}
10 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 1.16419, 'val_kl_Loss_FC': 3e-05}
11 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.94748, 'val_kl_Loss_FC': 2e-05}
12 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.83503, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.79112, 'val_kl_Loss_FC': 3e-05}
14 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 0.65916, 'val_kl_Loss_FC': 5e-05}
15 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.66596, 'val_kl_Loss_FC': 3e-05}
16 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 0.6186, 'val_kl_Loss_FC': 2e-05}
17 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 0.57611, 'val_kl_Loss_FC': 5e-05}
18 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 0.55653, 'val_kl_Loss_FC': 4e-05}
19 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 0.51667, 'val_kl_Loss_FC': 2e-05}
