1 saved {'val_OrigRecLoss': 0.00334, 'val_FeatRecLoss': 0.00211, 'val_kl_Loss_Z': 0.89574, 'val_kl_Loss_FC': 0.0}
2 saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00211, 'val_kl_Loss_Z': 0.44513, 'val_kl_Loss_FC': 1e-05}
3 saved {'val_OrigRecLoss': 0.00327, 'val_FeatRecLoss': 0.00211, 'val_kl_Loss_Z': 0.83636, 'val_kl_Loss_FC': 0.0}
4 saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00208, 'val_kl_Loss_Z': 0.30499, 'val_kl_Loss_FC': 0.0}
5 not saved {'val_OrigRecLoss': 0.00325, 'val_FeatRecLoss': 0.00204, 'val_kl_Loss_Z': 0.24256, 'val_kl_Loss_FC': 0.0}
6 saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00202, 'val_kl_Loss_Z': 0.49748, 'val_kl_Loss_FC': 2e-05}
7 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00203, 'val_kl_Loss_Z': 0.52621, 'val_kl_Loss_FC': 0.0}
8 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_Z': 0.48512, 'val_kl_Loss_FC': 0.0}
9 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.49535, 'val_kl_Loss_FC': 0.0}
10 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_Z': 0.34037, 'val_kl_Loss_FC': 1e-05}
11 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.30952, 'val_kl_Loss_FC': 1e-05}
12 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.28147, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.29926, 'val_kl_Loss_FC': 0.0}
14 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.26791, 'val_kl_Loss_FC': 1e-05}
15 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.29001, 'val_kl_Loss_FC': 1e-05}
16 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.22417, 'val_kl_Loss_FC': 0.0}
17 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.29769, 'val_kl_Loss_FC': 0.0}
18 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.29714, 'val_kl_Loss_FC': 0.0}
19 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.29499, 'val_kl_Loss_FC': 0.0}
20 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.29921, 'val_kl_Loss_FC': 0.0}
21 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.28004, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00201, 'val_kl_Loss_Z': 0.36678, 'val_kl_Loss_FC': 0.0}
23 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.29203, 'val_kl_Loss_FC': 1e-05}
24 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.30053, 'val_kl_Loss_FC': 0.0}
25 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00199, 'val_kl_Loss_Z': 0.29201, 'val_kl_Loss_FC': 1e-05}
26 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.29508, 'val_kl_Loss_FC': 1e-05}
27 saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00197, 'val_kl_Loss_Z': 0.29184, 'val_kl_Loss_FC': 1e-05}
28 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.33804, 'val_kl_Loss_FC': 1e-05}
29 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.28836, 'val_kl_Loss_FC': 0.0}
30 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.29243, 'val_kl_Loss_FC': 0.0}
31 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.28894, 'val_kl_Loss_FC': 1e-05}
32 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00198, 'val_kl_Loss_Z': 0.28914, 'val_kl_Loss_FC': 0.0}
33 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.002, 'val_kl_Loss_Z': 0.3013, 'val_kl_Loss_FC': 1e-05}
