51 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 0.32405}
52 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_Z': 0.3112}
53 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 0.34008}
54 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_Z': 0.29563}
55 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.30651}
56 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.30588}
57 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.29778}
58 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.31936}
59 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.28387}
60 not saved {'val_OrigRecLoss': 0.00324, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.29614}
61 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.2924}
62 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.29615}
63 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.28041}
64 saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.32884}
65 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.27064}
66 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.27589}
67 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.29299}
68 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.26281}
69 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.26997}
70 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.27098}
71 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.26729}
72 not saved {'val_OrigRecLoss': 0.00322, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.26403}
73 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.26755}
74 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.24446}
75 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.25076}
76 not saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.26152}
77 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.26993}
78 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.27292}
79 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.28049}
80 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.29267}
81 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.31729}
82 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.29229}
83 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.27977}
84 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.27241}
85 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.27327}
86 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.27874}
87 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.27151}
88 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.25805}
89 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.27825}
90 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26377}
91 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.29574}
92 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.257}
93 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.25998}
94 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.25665}
95 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.25028}
96 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.24874}
97 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.24074}
98 not saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.26062}
99 saved {'val_OrigRecLoss': 0.0032, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.24734}
