MetricType,Model,Source,Type,Depth,LatDim,Comp,MS,MP,AC,SS,RA,ISCOREam,ISCOREgm,ISCOREhm
fft,SKZFC_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9997836075342007,0.7117942571746454,0.9048234093197597,0.5650753961273578,0.9814990756300124,0.8325951491571952,0.8138870203402843,0.7937982349935686
matching_pursuit,SKZFC_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9999450005706902,0.6466056729274199,0.9000268595958455,0.5983592618651263,0.9814990756300124,0.8252871741178189,0.8067604534208019,0.7876798047402016
welch_evo,SKZFC_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9478051830182489,0.8940782438629774,0.9201528964503717,0.6657674274275052,0.9814990756300124,0.8818605652778231,0.8738429936414127,0.8648736802224947
fft,SKZFC_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9998972782355845,0.8005934217992494,0.9299792755329964,0.7100482006763406,0.9658272422722556,0.8812690837032854,0.8741895109326928,0.8668206485311034
matching_pursuit,SKZFC_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9999631979701293,0.7569613702169886,0.9244285219418835,0.6911764924640051,0.9658272422722556,0.8676713649730525,0.8587839041646994,0.8496107567799687
welch_evo,SKZFC_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9201083497266123,0.9078628532463594,0.9500374210951229,0.8357369398083621,0.9658272422722556,0.9159145612297424,0.9147739653507138,0.9136029092914858
fft,SKZFC_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9980832440999134,0.4747734384687149,0.8851520874615773,0.3798619275044476,0.393246054346732,0.6262233503762771,0.5746352236670796,0.5311571355911853
matching_pursuit,SKZFC_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9994204300673826,0.38781777823192154,0.8541756458888058,0.18993084641332114,0.393246054346732,0.5649181509896326,0.4771298634916299,0.39815760572433845
welch_evo,SKZFC_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9535409544520016,0.6605745847642419,0.9059210582110209,0.4414372825750682,0.393246054346732,0.6709439868698129,0.6297627805317024,0.5899934883398616
fft,SKZFC_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.9907307493857999,0.5719119602479077,0.8652393048451529,0.43106001159321095,0.8101484694206664,0.7338180990985477,0.702594397888553,0.6695384758606042
matching_pursuit,SKZFC_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.998752468444598,0.47740569532593824,0.8634845141311925,0.2523380163850508,0.8101484694206664,0.6804258327414893,0.609578250359983,0.5290287621235921
welch_evo,SKZFC_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.8364537936151325,0.7395471312798949,0.87049450005681,0.6730106981425052,0.8101484694206664,0.7859309185030018,0.78262206017472,0.7792195688626744
fft,FC_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9993067149417612,0.07052093033859641,0.7156695235058802,0.6284469890894673,0.9790735421664264,0.6786035400084264,0.4993012638064978,0.2605418912934305
fft,FC_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9997795749854732,0.36565633445324663,0.8803499688135178,0.7351298182892454,0.9659526829862848,0.7893736759055535,0.7443728446647806,0.6880899264787049
fft,FC_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9982903060817997,0.3201910143555369,0.8596078549731624,0.41207911462439917,0.3680365008535136,0.5916409581776824,0.5296238977917964,0.4792940288921321
fft,FC_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.9912838365276724,0.3682292852087746,0.8713414859110383,0.45033110313460134,0.8191359158427348,0.7000643253249643,0.651446163424164,0.6014288952432157
fft,SKZ_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9989461383324831,0.9995457413860184,0.9107802795071266,0.004287888336775514,0.97149528592019,0.7770110666965188,0.32786005377799404,0.021066483261346563
fft,SKZ_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9644245743532498,0.9999959713090963,0.905981686671458,0.36439215290565663,0.9563220544872616,0.8382232879453445,0.7883368450816151,0.7214345263841204
fft,SKZ_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9985166867046171,0.9999807601569635,0.9046286276268174,0.21375646586889085,0.1785882837101433,0.6590941648134865,0.5099386201686975,0.3735629979700134
fft,SKZ_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.9884461607614441,0.9999584312390768,0.9090625002966156,0.2544593469667832,0.7469588462186634,0.7797770570965166,0.702245165993738,0.5966282737510051
matching_pursuit,FC_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9998269952583188,0.05052406305403001,0.7034389014118207,0.6273306941650922,0.9790735421664264,0.6720388392111377,0.46536345181361316,0.20137142757201276
matching_pursuit,FC_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9999422340354935,0.29317811319121245,0.8797257228292963,0.7197701909678085,0.9659526829862848,0.7717137888020191,0.7091215628840378,0.6271754171433112
matching_pursuit,FC_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9996997292397499,0.25196525160603833,0.8626244801461814,0.1991517092557753,0.3680365008535136,0.5362955342202517,0.43693958029351576,0.36057413281867323
matching_pursuit,FC_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.997973887179631,0.30781616580940996,0.8782644226409532,0.3869494079983413,0.8191359158427348,0.678027959894214,0.6115179499948203,0.5438064625972846
matching_pursuit,SKZ_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9999685303971664,0.9993597967883939,0.6657053201155666,0.0099890214303614,0.97149528592019,0.7293035909303356,0.3647461995028307,0.04778192224050957
matching_pursuit,SKZ_ART_1_50_800_VitalDB,VitalDB,ART,1,50,800,0.9916415609738237,0.9998787251398679,0.6531561173157654,0.33051649752868606,0.9563220544872616,0.7863029910890809,0.7281540544289727,0.6569595947762483
matching_pursuit,SKZ_II_1_50_800_Mimic,Mimic,II,1,50,800,0.9999952793068009,0.9999114041132222,0.6682785786014764,0.1861307874492507,0.1785882837101433,0.6065808666361787,0.4670008144544123,0.3455780132835029
matching_pursuit,SKZ_II_1_50_800_VitalDB,VitalDB,II,1,50,800,0.9999997161908607,0.9997173699771243,0.6698896482152965,0.13274780938642927,0.7469588462186634,0.7098626779976749,0.5813542930547834,0.40437014100039853
welch_evo,FC_ART_1_50_800_Mimic,Mimic,ART,1,50,800,0.9646183195167568,0.2010210869975294,0.7388545044364204,0.7457795244316936,0.9790735421664264,0.7258693955097655,0.6366728987159813,0.5140341083396839
