Model,Metrics,Values,MetricType
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.16115179571565,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.23720547419717,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3967981838058803,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.4799809326526185,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.230020571313306,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0578077344884673,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.26475819756838,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.004868059016613,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.4012116690211136,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.031260598824476,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1016895069907537,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.28107185245466,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.438055864716361,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.253228524090969,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3413938729442316,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.104420109105827,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.177010426188231,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2095842866722806,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2042388188026494,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.281591439375231,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3587104544653528,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0539737040284125,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3117792471105862,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.019891367141689,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0355721037887116,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2632217124381233,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.146221412148798,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3313797771163216,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2615018324649667,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.39917275543411,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3107191303880423,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.154541364163352,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.189005298937118,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.403823479313137,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1115482029406976,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2302669236845505,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0588599303823503,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.307754650143639,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1142748685846393,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.507279521071618,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0343185861446877,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2452290215952284,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2622398677264517,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1968423987391517,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.0514058373197694,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3878250505635563,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.183484868405868,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.096701278879221,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.279613373295788,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.286837200335172,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.249065813017465,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.249234601434756,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.372164010435917,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2027829235592638,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1309385885129064,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.042814496019366,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1755113574679426,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3542334716369537,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.095179784466736,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.160771687144328,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1497911325451056,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.1373728212481513,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2346958831157275,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.529663227081607,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.3939297586306596,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.2458171894215564,fft
SKZFC_II_1_30_500_VitalDB,(i) $I(V; \acute{Z} \mid Z)$,2.290334841497061,fft
