Model,Metrics,Values
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2615244917785264
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2733363975819363
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.553303890967748
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1485295873115775
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.284634626911823
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.43589261782622
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.875285130404421
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.6639041757904334
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.088987464882077
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4660407325543274
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.943622542178378
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.001292703090672
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2265913201786898
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.4586533666003265
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.154898392510383
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1549423776903542
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2070727787557525
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.286064870994446
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.7072182730228787
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2565396761962004
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.64822299398937
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2838240266679213
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.1714181440580287
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.3060205783604872
SKZFC_ART_2_30_500_Mimic,(i) $I(V; \acute{Z} \mid Z)$,3.2751266376949375
