51 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00051, 'val_kl_Loss_Z': 1.0692}
52 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_Z': 1.05307}
53 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_Z': 1.04051}
54 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_Z': 1.01443}
55 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_Z': 0.98631}
56 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_Z': 0.94899}
57 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_Z': 0.96347}
58 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_Z': 1.00642}
59 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0004, 'val_kl_Loss_Z': 0.95194}
60 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00038, 'val_kl_Loss_Z': 0.93114}
61 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_Z': 0.91243}
62 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 0.89583}
63 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00035, 'val_kl_Loss_Z': 0.87086}
64 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.8586}
65 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 0.87249}
66 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00033, 'val_kl_Loss_Z': 0.83917}
67 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.83096}
68 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.83931}
69 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.7993}
70 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.81729}
71 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.79923}
72 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.77862}
73 not saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.77448}
74 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.77079}
75 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.85288}
76 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.78245}
77 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.8153}
78 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.76595}
79 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.73325}
80 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 3.14694}
81 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 2.27822}
82 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.96306}
83 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.81576}
84 not saved {'val_OrigRecLoss': 0.01141, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 1.70705}
