52 saved {'val_OrigRecLoss': 0.00194, 'val_FeatRecLoss': 0.0011, 'val_kl_Loss_FC': 1e-05}
53 not saved {'val_OrigRecLoss': 0.00195, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_FC': 1e-05}
54 saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_FC': 1e-05}
55 not saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00099, 'val_kl_Loss_FC': 1e-05}
56 saved {'val_OrigRecLoss': 0.00182, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_FC': 1e-05}
57 not saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 0.0}
58 not saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00096, 'val_kl_Loss_FC': 0.0}
59 saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00177, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 1e-05}
61 not saved {'val_OrigRecLoss': 0.00174, 'val_FeatRecLoss': 0.00089, 'val_kl_Loss_FC': 2e-05}
62 not saved {'val_OrigRecLoss': 0.00174, 'val_FeatRecLoss': 0.00091, 'val_kl_Loss_FC': 0.0}
63 saved {'val_OrigRecLoss': 0.00169, 'val_FeatRecLoss': 0.00088, 'val_kl_Loss_FC': 1e-05}
64 saved {'val_OrigRecLoss': 0.0016, 'val_FeatRecLoss': 0.00088, 'val_kl_Loss_FC': 0.0}
65 not saved {'val_OrigRecLoss': 0.00161, 'val_FeatRecLoss': 0.00087, 'val_kl_Loss_FC': 0.0}
66 saved {'val_OrigRecLoss': 0.00157, 'val_FeatRecLoss': 0.00089, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.00162, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 1e-05}
68 saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 0.0}
69 saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 0.0}
70 not saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 0.0}
71 not saved {'val_OrigRecLoss': 0.00165, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_FC': 0.0}
72 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00085, 'val_kl_Loss_FC': 1e-05}
73 saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00081, 'val_kl_Loss_FC': 1e-05}
74 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 0.0}
75 saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
76 not saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 1e-05}
77 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.0008, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 0.0}
79 not saved {'val_OrigRecLoss': 0.00151, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
80 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 0.0}
81 saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 0.0}
82 not saved {'val_OrigRecLoss': 0.00141, 'val_FeatRecLoss': 0.00079, 'val_kl_Loss_FC': 0.0}
83 saved {'val_OrigRecLoss': 0.00135, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
84 not saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 1e-05}
85 not saved {'val_OrigRecLoss': 0.0014, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 1e-05}
86 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 0.0}
87 not saved {'val_OrigRecLoss': 0.00139, 'val_FeatRecLoss': 0.00078, 'val_kl_Loss_FC': 1e-05}
88 saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.00077, 'val_kl_Loss_FC': 1e-05}
89 not saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 1e-05}
90 not saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 0.0}
91 not saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 0.0}
92 not saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_FC': 1e-05}
93 saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 1e-05}
94 not saved {'val_OrigRecLoss': 0.00136, 'val_FeatRecLoss': 0.00073, 'val_kl_Loss_FC': 0.0}
95 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00083, 'val_kl_Loss_FC': 0.0}
96 saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00072, 'val_kl_Loss_FC': 0.0}
97 not saved {'val_OrigRecLoss': 0.00147, 'val_FeatRecLoss': 0.00082, 'val_kl_Loss_FC': 1e-05}
98 saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 0.0}
99 saved {'val_OrigRecLoss': 0.00126, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 0.0}
100 not saved {'val_OrigRecLoss': 0.00129, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 1e-05}
101 saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.00074, 'val_kl_Loss_FC': 1e-05}
102 not saved {'val_OrigRecLoss': 0.0013, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 0.0}
103 not saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 1e-05}
104 not saved {'val_OrigRecLoss': 0.00128, 'val_FeatRecLoss': 0.0007, 'val_kl_Loss_FC': 1e-05}
105 saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.00075, 'val_kl_Loss_FC': 2e-05}
106 not saved {'val_OrigRecLoss': 0.00124, 'val_FeatRecLoss': 0.00071, 'val_kl_Loss_FC': 0.0}
