1 saved {'val_OrigRecLoss': 0.01156, 'val_FeatRecLoss': 0.00608, 'val_kl_Loss_Z': 2.84526, 'val_kl_Loss_FC': 1e-05}
2 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 3.28968, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00597, 'val_kl_Loss_Z': 3.10976, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 2.88115, 'val_kl_Loss_FC': 1e-05}
5 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_Z': 2.71003, 'val_kl_Loss_FC': 1e-05}
6 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.51361, 'val_kl_Loss_FC': 1e-05}
7 not saved {'val_OrigRecLoss': 0.01149, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 2.4043, 'val_kl_Loss_FC': 0.0}
8 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00599, 'val_kl_Loss_Z': 2.35531, 'val_kl_Loss_FC': 0.0}
9 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.2591, 'val_kl_Loss_FC': 2e-05}
10 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.21447, 'val_kl_Loss_FC': 0.0}
11 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.15248, 'val_kl_Loss_FC': 0.0}
12 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.12457, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 2.08068, 'val_kl_Loss_FC': 0.0}
14 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.05421, 'val_kl_Loss_FC': 0.0}
15 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.9821, 'val_kl_Loss_FC': 1e-05}
16 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.96256, 'val_kl_Loss_FC': 1e-05}
17 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.91633, 'val_kl_Loss_FC': 1e-05}
18 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.87525, 'val_kl_Loss_FC': 1e-05}
19 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.91686, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.76073, 'val_kl_Loss_FC': 0.0}
21 not saved {'val_OrigRecLoss': 0.01153, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.73243, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.71326, 'val_kl_Loss_FC': 2e-05}
23 saved {'val_OrigRecLoss': 0.01135, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.65736, 'val_kl_Loss_FC': 1e-05}
24 saved {'val_OrigRecLoss': 0.01133, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.61683, 'val_kl_Loss_FC': 1e-05}
25 saved {'val_OrigRecLoss': 0.01119, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.54548, 'val_kl_Loss_FC': 1e-05}
26 saved {'val_OrigRecLoss': 0.01091, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.51787, 'val_kl_Loss_FC': 0.0}
27 saved {'val_OrigRecLoss': 0.01069, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.47998, 'val_kl_Loss_FC': 0.0}
28 saved {'val_OrigRecLoss': 0.01048, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.41365, 'val_kl_Loss_FC': 1e-05}
29 saved {'val_OrigRecLoss': 0.01007, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.39759, 'val_kl_Loss_FC': 0.0}
30 saved {'val_OrigRecLoss': 0.00934, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.35992, 'val_kl_Loss_FC': 0.0}
31 saved {'val_OrigRecLoss': 0.00667, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.31585, 'val_kl_Loss_FC': 1e-05}
32 saved {'val_OrigRecLoss': 0.00537, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.30203, 'val_kl_Loss_FC': 0.0}
33 not saved {'val_OrigRecLoss': 0.00489, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.24378, 'val_kl_Loss_FC': 1e-05}
34 saved {'val_OrigRecLoss': 0.00397, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.23208, 'val_kl_Loss_FC': 0.0}
35 saved {'val_OrigRecLoss': 0.00382, 'val_FeatRecLoss': 0.00591, 'val_kl_Loss_Z': 1.21769, 'val_kl_Loss_FC': 0.0}
36 not saved {'val_OrigRecLoss': 0.00347, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.26324, 'val_kl_Loss_FC': 1e-05}
37 saved {'val_OrigRecLoss': 0.00327, 'val_FeatRecLoss': 0.00589, 'val_kl_Loss_Z': 1.65703, 'val_kl_Loss_FC': 1e-05}
38 saved {'val_OrigRecLoss': 0.00323, 'val_FeatRecLoss': 0.00577, 'val_kl_Loss_Z': 1.92297, 'val_kl_Loss_FC': 0.0}
39 saved {'val_OrigRecLoss': 0.0033, 'val_FeatRecLoss': 0.00575, 'val_kl_Loss_Z': 1.78326, 'val_kl_Loss_FC': 0.0}
40 saved {'val_OrigRecLoss': 0.00292, 'val_FeatRecLoss': 0.0057, 'val_kl_Loss_Z': 1.94174, 'val_kl_Loss_FC': 0.0}
41 saved {'val_OrigRecLoss': 0.00301, 'val_FeatRecLoss': 0.00558, 'val_kl_Loss_Z': 2.08057, 'val_kl_Loss_FC': 0.0}
42 saved {'val_OrigRecLoss': 0.00273, 'val_FeatRecLoss': 0.00545, 'val_kl_Loss_Z': 2.86337, 'val_kl_Loss_FC': 0.0}
43 saved {'val_OrigRecLoss': 0.00284, 'val_FeatRecLoss': 0.00528, 'val_kl_Loss_Z': 4.38648, 'val_kl_Loss_FC': 1e-05}
44 saved {'val_OrigRecLoss': 0.0027, 'val_FeatRecLoss': 0.00471, 'val_kl_Loss_Z': 7.48328, 'val_kl_Loss_FC': 0.0}
45 saved {'val_OrigRecLoss': 0.00259, 'val_FeatRecLoss': 0.00413, 'val_kl_Loss_Z': 10.24467, 'val_kl_Loss_FC': 1e-05}
46 saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00344, 'val_kl_Loss_Z': 13.0248, 'val_kl_Loss_FC': 1e-05}
47 saved {'val_OrigRecLoss': 0.00253, 'val_FeatRecLoss': 0.00301, 'val_kl_Loss_Z': 14.16212, 'val_kl_Loss_FC': 0.0}
48 saved {'val_OrigRecLoss': 0.00248, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 15.44888, 'val_kl_Loss_FC': 1e-05}
49 saved {'val_OrigRecLoss': 0.00247, 'val_FeatRecLoss': 0.00246, 'val_kl_Loss_Z': 16.27427, 'val_kl_Loss_FC': 0.0}
50 not saved {'val_OrigRecLoss': 0.00248, 'val_FeatRecLoss': 0.00233, 'val_kl_Loss_Z': 16.47336, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00261, 'val_FeatRecLoss': 0.00236, 'val_kl_Loss_Z': 17.18334, 'val_kl_Loss_FC': 0.0}
52 saved {'val_OrigRecLoss': 0.00239, 'val_FeatRecLoss': 0.00193, 'val_kl_Loss_Z': 17.6126, 'val_kl_Loss_FC': 1e-05}
53 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00183, 'val_kl_Loss_Z': 17.29158, 'val_kl_Loss_FC': 0.0}
54 saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00173, 'val_kl_Loss_Z': 17.59201, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00229, 'val_FeatRecLoss': 0.00163, 'val_kl_Loss_Z': 17.90452, 'val_kl_Loss_FC': 1e-05}
56 saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.0016, 'val_kl_Loss_Z': 17.92026, 'val_kl_Loss_FC': 1e-05}
57 saved {'val_OrigRecLoss': 0.00221, 'val_FeatRecLoss': 0.00171, 'val_kl_Loss_Z': 18.44923, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00148, 'val_kl_Loss_Z': 18.08164, 'val_kl_Loss_FC': 1e-05}
59 saved {'val_OrigRecLoss': 0.0021, 'val_FeatRecLoss': 0.00146, 'val_kl_Loss_Z': 17.88681, 'val_kl_Loss_FC': 1e-05}
60 saved {'val_OrigRecLoss': 0.00209, 'val_FeatRecLoss': 0.00139, 'val_kl_Loss_Z': 18.46093, 'val_kl_Loss_FC': 1e-05}
61 not saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00142, 'val_kl_Loss_Z': 17.77107, 'val_kl_Loss_FC': 1e-05}
62 saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00134, 'val_kl_Loss_Z': 18.30109, 'val_kl_Loss_FC': 1e-05}
63 not saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00136, 'val_kl_Loss_Z': 17.65508, 'val_kl_Loss_FC': 0.0}
64 saved {'val_OrigRecLoss': 0.00202, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 18.09247, 'val_kl_Loss_FC': 1e-05}
65 saved {'val_OrigRecLoss': 0.00196, 'val_FeatRecLoss': 0.0013, 'val_kl_Loss_Z': 17.82152, 'val_kl_Loss_FC': 1e-05}
66 not saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00132, 'val_kl_Loss_Z': 17.80274, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00128, 'val_kl_Loss_Z': 17.83744, 'val_kl_Loss_FC': 1e-05}
68 saved {'val_OrigRecLoss': 0.00194, 'val_FeatRecLoss': 0.00131, 'val_kl_Loss_Z': 17.38562, 'val_kl_Loss_FC': 0.0}
69 saved {'val_OrigRecLoss': 0.0019, 'val_FeatRecLoss': 0.00124, 'val_kl_Loss_Z': 17.61617, 'val_kl_Loss_FC': 0.0}
70 saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00123, 'val_kl_Loss_Z': 17.67584, 'val_kl_Loss_FC': 0.0}
71 not saved {'val_OrigRecLoss': 0.00188, 'val_FeatRecLoss': 0.00127, 'val_kl_Loss_Z': 18.0648, 'val_kl_Loss_FC': 0.0}
72 not saved {'val_OrigRecLoss': 0.00187, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 17.78189, 'val_kl_Loss_FC': 2e-05}
73 not saved {'val_OrigRecLoss': 0.00185, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 17.4484, 'val_kl_Loss_FC': 0.0}
74 saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 17.38663, 'val_kl_Loss_FC': 0.0}
75 saved {'val_OrigRecLoss': 0.00181, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_Z': 17.33639, 'val_kl_Loss_FC': 0.0}
76 not saved {'val_OrigRecLoss': 0.00182, 'val_FeatRecLoss': 0.0012, 'val_kl_Loss_Z': 17.64432, 'val_kl_Loss_FC': 0.0}
77 saved {'val_OrigRecLoss': 0.00181, 'val_FeatRecLoss': 0.00113, 'val_kl_Loss_Z': 17.45682, 'val_kl_Loss_FC': 0.0}
78 not saved {'val_OrigRecLoss': 0.00182, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_Z': 16.82051, 'val_kl_Loss_FC': 0.0}
79 not saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_Z': 16.93893, 'val_kl_Loss_FC': 1e-05}
80 saved {'val_OrigRecLoss': 0.00176, 'val_FeatRecLoss': 0.00112, 'val_kl_Loss_Z': 16.86727, 'val_kl_Loss_FC': 0.0}
81 not saved {'val_OrigRecLoss': 0.00179, 'val_FeatRecLoss': 0.00109, 'val_kl_Loss_Z': 16.93604, 'val_kl_Loss_FC': 0.0}
82 saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_Z': 17.0471, 'val_kl_Loss_FC': 0.0}
83 not saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00112, 'val_kl_Loss_Z': 16.89325, 'val_kl_Loss_FC': 0.0}
