39 not saved {'val_OrigRecLoss': 0.00228, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.92636, 'val_kl_Loss_FC': 1e-05}
40 not saved {'val_OrigRecLoss': 0.00212, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.91718, 'val_kl_Loss_FC': 4e-05}
41 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00298, 'val_kl_Loss_Z': 0.86643, 'val_kl_Loss_FC': 1e-05}
42 not saved {'val_OrigRecLoss': 0.00204, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.89711, 'val_kl_Loss_FC': 0.0}
43 not saved {'val_OrigRecLoss': 0.00199, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.83856, 'val_kl_Loss_FC': 0.0}
44 not saved {'val_OrigRecLoss': 0.002, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.85823, 'val_kl_Loss_FC': 2e-05}
45 not saved {'val_OrigRecLoss': 0.00191, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.84114, 'val_kl_Loss_FC': 2e-05}
46 not saved {'val_OrigRecLoss': 0.00187, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.80165, 'val_kl_Loss_FC': 1e-05}
47 saved {'val_OrigRecLoss': 0.00183, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.83711, 'val_kl_Loss_FC': 1e-05}
48 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.81283, 'val_kl_Loss_FC': 2e-05}
49 not saved {'val_OrigRecLoss': 0.00184, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.7775, 'val_kl_Loss_FC': 1e-05}
50 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.77594, 'val_kl_Loss_FC': 1e-05}
51 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.79717, 'val_kl_Loss_FC': 0.0}
52 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.74129, 'val_kl_Loss_FC': 2e-05}
53 not saved {'val_OrigRecLoss': 0.00167, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.77335, 'val_kl_Loss_FC': 0.0}
54 not saved {'val_OrigRecLoss': 0.00172, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.75536, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00164, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.75197, 'val_kl_Loss_FC': 4e-05}
56 saved {'val_OrigRecLoss': 0.00167, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.70772, 'val_kl_Loss_FC': 1e-05}
57 not saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.71815, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.73287, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00165, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.74154, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00156, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.72338, 'val_kl_Loss_FC': 1e-05}
61 saved {'val_OrigRecLoss': 0.00156, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.71404, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00159, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.69878, 'val_kl_Loss_FC': 1e-05}
63 not saved {'val_OrigRecLoss': 0.00153, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.68952, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.69326, 'val_kl_Loss_FC': 1e-05}
65 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.68912, 'val_kl_Loss_FC': 0.0}
66 not saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.70016, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.0015, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.67192, 'val_kl_Loss_FC': 2e-05}
68 not saved {'val_OrigRecLoss': 0.00152, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.65728, 'val_kl_Loss_FC': 1e-05}
69 not saved {'val_OrigRecLoss': 0.00155, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.66534, 'val_kl_Loss_FC': 0.0}
70 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.67731, 'val_kl_Loss_FC': 6e-05}
71 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00295, 'val_kl_Loss_Z': 0.64331, 'val_kl_Loss_FC': 2e-05}
72 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.63916, 'val_kl_Loss_FC': 1e-05}
73 not saved {'val_OrigRecLoss': 0.00148, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.63545, 'val_kl_Loss_FC': 1e-05}
74 not saved {'val_OrigRecLoss': 0.00142, 'val_FeatRecLoss': 0.00297, 'val_kl_Loss_Z': 0.61486, 'val_kl_Loss_FC': 1e-05}
75 not saved {'val_OrigRecLoss': 0.00145, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.61996, 'val_kl_Loss_FC': 1e-05}
76 not saved {'val_OrigRecLoss': 0.00144, 'val_FeatRecLoss': 0.00296, 'val_kl_Loss_Z': 0.6103, 'val_kl_Loss_FC': 1e-05}
