52 saved {'val_OrigRecLoss': 0.00229, 'val_FeatRecLoss': 0.00121, 'val_kl_Loss_FC': 1e-05}
53 not saved {'val_OrigRecLoss': 0.0024, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_FC': 1e-05}
54 saved {'val_OrigRecLoss': 0.00222, 'val_FeatRecLoss': 0.00118, 'val_kl_Loss_FC': 0.0}
55 saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00119, 'val_kl_Loss_FC': 1e-05}
56 saved {'val_OrigRecLoss': 0.00216, 'val_FeatRecLoss': 0.00116, 'val_kl_Loss_FC': 0.0}
57 not saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_FC': 1e-05}
58 saved {'val_OrigRecLoss': 0.00212, 'val_FeatRecLoss': 0.00115, 'val_kl_Loss_FC': 1e-05}
59 not saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_FC': 1e-05}
60 saved {'val_OrigRecLoss': 0.00208, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_FC': 0.0}
61 not saved {'val_OrigRecLoss': 0.0022, 'val_FeatRecLoss': 0.00114, 'val_kl_Loss_FC': 1e-05}
62 saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00108, 'val_kl_Loss_FC': 1e-05}
63 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.00207, 'val_FeatRecLoss': 0.00111, 'val_kl_Loss_FC': 1e-05}
65 not saved {'val_OrigRecLoss': 0.00206, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_FC': 1e-05}
66 saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.00108, 'val_kl_Loss_FC': 1e-05}
67 not saved {'val_OrigRecLoss': 0.00211, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_FC': 1e-05}
68 saved {'val_OrigRecLoss': 0.00191, 'val_FeatRecLoss': 0.00107, 'val_kl_Loss_FC': 0.0}
69 not saved {'val_OrigRecLoss': 0.00192, 'val_FeatRecLoss': 0.00101, 'val_kl_Loss_FC': 0.0}
70 not saved {'val_OrigRecLoss': 0.00199, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_FC': 0.0}
71 not saved {'val_OrigRecLoss': 0.00192, 'val_FeatRecLoss': 0.00102, 'val_kl_Loss_FC': 0.0}
72 saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00102, 'val_kl_Loss_FC': 0.0}
73 not saved {'val_OrigRecLoss': 0.00203, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_FC': 1e-05}
74 saved {'val_OrigRecLoss': 0.00185, 'val_FeatRecLoss': 0.00099, 'val_kl_Loss_FC': 0.0}
75 not saved {'val_OrigRecLoss': 0.00197, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_FC': 0.0}
76 saved {'val_OrigRecLoss': 0.00181, 'val_FeatRecLoss': 0.00103, 'val_kl_Loss_FC': 0.0}
77 not saved {'val_OrigRecLoss': 0.00181, 'val_FeatRecLoss': 0.00104, 'val_kl_Loss_FC': 0.0}
78 saved {'val_OrigRecLoss': 0.00179, 'val_FeatRecLoss': 0.00096, 'val_kl_Loss_FC': 0.0}
79 saved {'val_OrigRecLoss': 0.00176, 'val_FeatRecLoss': 0.00099, 'val_kl_Loss_FC': 1e-05}
80 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_FC': 0.0}
81 saved {'val_OrigRecLoss': 0.00173, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_FC': 1e-05}
82 not saved {'val_OrigRecLoss': 0.00173, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_FC': 2e-05}
83 saved {'val_OrigRecLoss': 0.00171, 'val_FeatRecLoss': 0.00093, 'val_kl_Loss_FC': 0.0}
84 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.001, 'val_kl_Loss_FC': 1e-05}
85 not saved {'val_OrigRecLoss': 0.00186, 'val_FeatRecLoss': 0.00095, 'val_kl_Loss_FC': 0.0}
86 not saved {'val_OrigRecLoss': 0.0018, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 1e-05}
87 not saved {'val_OrigRecLoss': 0.00191, 'val_FeatRecLoss': 0.00098, 'val_kl_Loss_FC': 1e-05}
88 saved {'val_OrigRecLoss': 0.00168, 'val_FeatRecLoss': 0.00093, 'val_kl_Loss_FC': 0.0}
89 saved {'val_OrigRecLoss': 0.00167, 'val_FeatRecLoss': 0.00093, 'val_kl_Loss_FC': 0.0}
90 not saved {'val_OrigRecLoss': 0.00171, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 0.0}
91 saved {'val_OrigRecLoss': 0.00167, 'val_FeatRecLoss': 0.00092, 'val_kl_Loss_FC': 0.0}
92 not saved {'val_OrigRecLoss': 0.00175, 'val_FeatRecLoss': 0.00096, 'val_kl_Loss_FC': 0.0}
93 not saved {'val_OrigRecLoss': 0.00169, 'val_FeatRecLoss': 0.00094, 'val_kl_Loss_FC': 0.0}
