39 saved {'val_OrigRecLoss': 0.00306, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.88859, 'val_kl_Loss_FC': 0.0}
40 saved {'val_OrigRecLoss': 0.00286, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.87254, 'val_kl_Loss_FC': 0.0}
41 saved {'val_OrigRecLoss': 0.00283, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 0.85911, 'val_kl_Loss_FC': 1e-05}
42 saved {'val_OrigRecLoss': 0.00257, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.83781, 'val_kl_Loss_FC': 0.0}
43 not saved {'val_OrigRecLoss': 0.00254, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.83238, 'val_kl_Loss_FC': 0.0}
44 saved {'val_OrigRecLoss': 0.0023, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.81958, 'val_kl_Loss_FC': 1e-05}
45 not saved {'val_OrigRecLoss': 0.00265, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.81454, 'val_kl_Loss_FC': 0.0}
46 not saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00258, 'val_kl_Loss_Z': 0.78004, 'val_kl_Loss_FC': 0.0}
47 saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.78745, 'val_kl_Loss_FC': 1e-05}
48 saved {'val_OrigRecLoss': 0.00217, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.76136, 'val_kl_Loss_FC': 1e-05}
49 saved {'val_OrigRecLoss': 0.00205, 'val_FeatRecLoss': 0.00256, 'val_kl_Loss_Z': 0.76523, 'val_kl_Loss_FC': 0.0}
50 not saved {'val_OrigRecLoss': 0.002, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.73817, 'val_kl_Loss_FC': 0.0}
51 not saved {'val_OrigRecLoss': 0.00199, 'val_FeatRecLoss': 0.00257, 'val_kl_Loss_Z': 0.73663, 'val_kl_Loss_FC': 1e-05}
