51 not saved {'val_OrigRecLoss': 0.00141, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_FC': 0.00018}
52 saved {'val_OrigRecLoss': 0.00137, 'val_FeatRecLoss': 0.00057, 'val_kl_Loss_FC': 3e-05}
53 saved {'val_OrigRecLoss': 0.00134, 'val_FeatRecLoss': 0.00056, 'val_kl_Loss_FC': 0.00011}
54 not saved {'val_OrigRecLoss': 0.00149, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_FC': 0.00035}
55 saved {'val_OrigRecLoss': 0.00132, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_FC': 5e-05}
56 saved {'val_OrigRecLoss': 0.00131, 'val_FeatRecLoss': 0.00054, 'val_kl_Loss_FC': 0.00012}
57 saved {'val_OrigRecLoss': 0.00127, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_FC': 4e-05}
58 saved {'val_OrigRecLoss': 0.00125, 'val_FeatRecLoss': 0.00051, 'val_kl_Loss_FC': 5e-05}
59 saved {'val_OrigRecLoss': 0.00123, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_FC': 0.00012}
60 saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00053, 'val_kl_Loss_FC': 3e-05}
61 not saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_FC': 8e-05}
62 saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.00055, 'val_kl_Loss_FC': 0.00024}
63 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.0005, 'val_kl_Loss_FC': 0.00029}
64 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00051, 'val_kl_Loss_FC': 0.0003}
65 saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.0005, 'val_kl_Loss_FC': 6e-05}
66 saved {'val_OrigRecLoss': 0.00115, 'val_FeatRecLoss': 0.00049, 'val_kl_Loss_FC': 5e-05}
67 not saved {'val_OrigRecLoss': 0.00118, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_FC': 5e-05}
68 not saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00049, 'val_kl_Loss_FC': 0.00017}
69 not saved {'val_OrigRecLoss': 0.00121, 'val_FeatRecLoss': 0.00049, 'val_kl_Loss_FC': 3e-05}
70 not saved {'val_OrigRecLoss': 0.00115, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_FC': 0.00021}
71 saved {'val_OrigRecLoss': 0.0011, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_FC': 0.00015}
72 not saved {'val_OrigRecLoss': 0.00112, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_FC': 0.00019}
73 not saved {'val_OrigRecLoss': 0.00111, 'val_FeatRecLoss': 0.00049, 'val_kl_Loss_FC': 0.00011}
74 not saved {'val_OrigRecLoss': 0.00119, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_FC': 2e-05}
75 not saved {'val_OrigRecLoss': 0.00111, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_FC': 9e-05}
76 not saved {'val_OrigRecLoss': 0.0012, 'val_FeatRecLoss': 0.0005, 'val_kl_Loss_FC': 6e-05}
77 saved {'val_OrigRecLoss': 0.00108, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_FC': 3e-05}
78 saved {'val_OrigRecLoss': 0.00106, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_FC': 0.00014}
79 not saved {'val_OrigRecLoss': 0.00108, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_FC': 5e-05}
80 not saved {'val_OrigRecLoss': 0.00107, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_FC': 4e-05}
81 not saved {'val_OrigRecLoss': 0.00109, 'val_FeatRecLoss': 0.00047, 'val_kl_Loss_FC': 2e-05}
82 not saved {'val_OrigRecLoss': 0.00106, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_FC': 5e-05}
83 saved {'val_OrigRecLoss': 0.00102, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_FC': 2e-05}
84 not saved {'val_OrigRecLoss': 0.00103, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_FC': 7e-05}
85 saved {'val_OrigRecLoss': 0.00102, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_FC': 7e-05}
86 not saved {'val_OrigRecLoss': 0.0011, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_FC': 0.0001}
87 saved {'val_OrigRecLoss': 0.00101, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_FC': 2e-05}
88 not saved {'val_OrigRecLoss': 0.00107, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_FC': 0.0001}
89 saved {'val_OrigRecLoss': 0.00099, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_FC': 6e-05}
90 saved {'val_OrigRecLoss': 0.00099, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_FC': 7e-05}
91 not saved {'val_OrigRecLoss': 0.00101, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 4e-05}
92 not saved {'val_OrigRecLoss': 0.00104, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_FC': 5e-05}
93 not saved {'val_OrigRecLoss': 0.001, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 2e-05}
94 not saved {'val_OrigRecLoss': 0.00102, 'val_FeatRecLoss': 0.00044, 'val_kl_Loss_FC': 0.00012}
95 saved {'val_OrigRecLoss': 0.00096, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 7e-05}
96 not saved {'val_OrigRecLoss': 0.00099, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 4e-05}
97 not saved {'val_OrigRecLoss': 0.00097, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 0.00017}
98 saved {'val_OrigRecLoss': 0.00095, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 4e-05}
99 not saved {'val_OrigRecLoss': 0.00097, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 7e-05}
100 saved {'val_OrigRecLoss': 0.00094, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_FC': 3e-05}
101 not saved {'val_OrigRecLoss': 0.00099, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_FC': 3e-05}
102 not saved {'val_OrigRecLoss': 0.00096, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_FC': 7e-05}
103 saved {'val_OrigRecLoss': 0.00093, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_FC': 4e-05}
104 not saved {'val_OrigRecLoss': 0.00097, 'val_FeatRecLoss': 0.00052, 'val_kl_Loss_FC': 0.00012}
