39 saved {'val_OrigRecLoss': 0.00922, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11751, 'val_kl_Loss_FC': 0.0}
40 saved {'val_OrigRecLoss': 0.00908, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11636, 'val_kl_Loss_FC': 1e-05}
41 saved {'val_OrigRecLoss': 0.00883, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.1358, 'val_kl_Loss_FC': 1e-05}
42 saved {'val_OrigRecLoss': 0.00862, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.1166, 'val_kl_Loss_FC': 0.0}
43 saved {'val_OrigRecLoss': 0.00839, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.12752, 'val_kl_Loss_FC': 0.0}
44 not saved {'val_OrigRecLoss': 0.00855, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.12295, 'val_kl_Loss_FC': 1e-05}
45 saved {'val_OrigRecLoss': 0.00805, 'val_FeatRecLoss': 0.00524, 'val_kl_Loss_Z': 0.11421, 'val_kl_Loss_FC': 1e-05}
46 saved {'val_OrigRecLoss': 0.0075, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.14919, 'val_kl_Loss_FC': 1e-05}
47 saved {'val_OrigRecLoss': 0.00708, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11485, 'val_kl_Loss_FC': 0.0}
48 saved {'val_OrigRecLoss': 0.0065, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.12169, 'val_kl_Loss_FC': 1e-05}
49 saved {'val_OrigRecLoss': 0.00611, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.1069, 'val_kl_Loss_FC': 0.0}
50 saved {'val_OrigRecLoss': 0.00561, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.1202, 'val_kl_Loss_FC': 0.0}
51 saved {'val_OrigRecLoss': 0.00515, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11343, 'val_kl_Loss_FC': 0.0}
52 saved {'val_OrigRecLoss': 0.0048, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11163, 'val_kl_Loss_FC': 0.0}
53 not saved {'val_OrigRecLoss': 0.00448, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10302, 'val_kl_Loss_FC': 0.0}
54 saved {'val_OrigRecLoss': 0.00415, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.12382, 'val_kl_Loss_FC': 0.0}
55 not saved {'val_OrigRecLoss': 0.00389, 'val_FeatRecLoss': 0.00523, 'val_kl_Loss_Z': 0.11528, 'val_kl_Loss_FC': 0.0}
56 saved {'val_OrigRecLoss': 0.00367, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.13001, 'val_kl_Loss_FC': 1e-05}
57 not saved {'val_OrigRecLoss': 0.00337, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.10277, 'val_kl_Loss_FC': 1e-05}
58 not saved {'val_OrigRecLoss': 0.00321, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.10823, 'val_kl_Loss_FC': 0.0}
59 not saved {'val_OrigRecLoss': 0.00317, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.1084, 'val_kl_Loss_FC': 0.0}
60 not saved {'val_OrigRecLoss': 0.00312, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.10901, 'val_kl_Loss_FC': 0.0}
61 not saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.11298, 'val_kl_Loss_FC': 0.0}
62 not saved {'val_OrigRecLoss': 0.00276, 'val_FeatRecLoss': 0.0052, 'val_kl_Loss_Z': 0.1245, 'val_kl_Loss_FC': 2e-05}
63 not saved {'val_OrigRecLoss': 0.00269, 'val_FeatRecLoss': 0.00522, 'val_kl_Loss_Z': 0.11053, 'val_kl_Loss_FC': 0.0}
64 not saved {'val_OrigRecLoss': 0.0026, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.1107, 'val_kl_Loss_FC': 1e-05}
65 not saved {'val_OrigRecLoss': 0.00262, 'val_FeatRecLoss': 0.00521, 'val_kl_Loss_Z': 0.09859, 'val_kl_Loss_FC': 0.0}
