1 saved {'val_OrigRecLoss': 0.01152, 'val_FeatRecLoss': 0.00607, 'val_kl_Loss_Z': 6.12063, 'val_kl_Loss_FC': 0.0}
2 saved {'val_OrigRecLoss': 0.01148, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 4.38354, 'val_kl_Loss_FC': 0.0}
3 saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00597, 'val_kl_Loss_Z': 3.61888, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 3.21539, 'val_kl_Loss_FC': 2e-05}
5 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_Z': 2.96214, 'val_kl_Loss_FC': 0.0}
6 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.79132, 'val_kl_Loss_FC': 0.0}
7 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.006, 'val_kl_Loss_Z': 2.59795, 'val_kl_Loss_FC': 1e-05}
8 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_Z': 2.48678, 'val_kl_Loss_FC': 1e-05}
9 not saved {'val_OrigRecLoss': 0.01147, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_Z': 2.42066, 'val_kl_Loss_FC': 1e-05}
10 not saved {'val_OrigRecLoss': 0.01145, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.32048, 'val_kl_Loss_FC': 1e-05}
11 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.29517, 'val_kl_Loss_FC': 1e-05}
12 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.17477, 'val_kl_Loss_FC': 0.0}
13 not saved {'val_OrigRecLoss': 0.01146, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.12271, 'val_kl_Loss_FC': 1e-05}
14 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.08466, 'val_kl_Loss_FC': 1e-05}
15 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 2.07763, 'val_kl_Loss_FC': 0.0}
16 saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 2.06112, 'val_kl_Loss_FC': 1e-05}
17 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.99529, 'val_kl_Loss_FC': 1e-05}
18 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.97077, 'val_kl_Loss_FC': 0.0}
19 not saved {'val_OrigRecLoss': 0.01144, 'val_FeatRecLoss': 0.00596, 'val_kl_Loss_Z': 1.9288, 'val_kl_Loss_FC': 2e-05}
20 saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.91618, 'val_kl_Loss_FC': 0.0}
21 not saved {'val_OrigRecLoss': 0.01143, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.93686, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.01142, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.85541, 'val_kl_Loss_FC': 1e-05}
23 saved {'val_OrigRecLoss': 0.01138, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.8256, 'val_kl_Loss_FC': 1e-05}
24 saved {'val_OrigRecLoss': 0.01113, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.79089, 'val_kl_Loss_FC': 1e-05}
25 saved {'val_OrigRecLoss': 0.01083, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.73283, 'val_kl_Loss_FC': 0.0}
26 saved {'val_OrigRecLoss': 0.01053, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.69131, 'val_kl_Loss_FC': 0.0}
27 saved {'val_OrigRecLoss': 0.01028, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.71807, 'val_kl_Loss_FC': 1e-05}
28 saved {'val_OrigRecLoss': 0.00936, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.62588, 'val_kl_Loss_FC': 0.0}
29 saved {'val_OrigRecLoss': 0.00772, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.62996, 'val_kl_Loss_FC': 0.0}
30 saved {'val_OrigRecLoss': 0.00625, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.61476, 'val_kl_Loss_FC': 0.0}
31 saved {'val_OrigRecLoss': 0.00505, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.55973, 'val_kl_Loss_FC': 0.0}
32 not saved {'val_OrigRecLoss': 0.00446, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.54386, 'val_kl_Loss_FC': 1e-05}
33 not saved {'val_OrigRecLoss': 0.00409, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.50084, 'val_kl_Loss_FC': 1e-05}
34 not saved {'val_OrigRecLoss': 0.00384, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.4418, 'val_kl_Loss_FC': 1e-05}
35 saved {'val_OrigRecLoss': 0.00336, 'val_FeatRecLoss': 0.00592, 'val_kl_Loss_Z': 1.44468, 'val_kl_Loss_FC': 1e-05}
36 not saved {'val_OrigRecLoss': 0.00309, 'val_FeatRecLoss': 0.00594, 'val_kl_Loss_Z': 1.39055, 'val_kl_Loss_FC': 1e-05}
37 not saved {'val_OrigRecLoss': 0.00299, 'val_FeatRecLoss': 0.00595, 'val_kl_Loss_Z': 1.3929, 'val_kl_Loss_FC': 0.0}
38 not saved {'val_OrigRecLoss': 0.00289, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.35157, 'val_kl_Loss_FC': 1e-05}
39 not saved {'val_OrigRecLoss': 0.00274, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.33368, 'val_kl_Loss_FC': 0.0}
40 not saved {'val_OrigRecLoss': 0.00282, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.30239, 'val_kl_Loss_FC': 0.0}
41 not saved {'val_OrigRecLoss': 0.00256, 'val_FeatRecLoss': 0.00593, 'val_kl_Loss_Z': 1.38916, 'val_kl_Loss_FC': 1e-05}
42 saved {'val_OrigRecLoss': 0.00262, 'val_FeatRecLoss': 0.00587, 'val_kl_Loss_Z': 2.92237, 'val_kl_Loss_FC': 1e-05}
43 saved {'val_OrigRecLoss': 0.00249, 'val_FeatRecLoss': 0.00577, 'val_kl_Loss_Z': 1.64517, 'val_kl_Loss_FC': 1e-05}
44 saved {'val_OrigRecLoss': 0.00241, 'val_FeatRecLoss': 0.00572, 'val_kl_Loss_Z': 1.76222, 'val_kl_Loss_FC': 0.0}
45 saved {'val_OrigRecLoss': 0.00232, 'val_FeatRecLoss': 0.00567, 'val_kl_Loss_Z': 2.07124, 'val_kl_Loss_FC': 0.0}
46 saved {'val_OrigRecLoss': 0.00238, 'val_FeatRecLoss': 0.00555, 'val_kl_Loss_Z': 2.21589, 'val_kl_Loss_FC': 0.0}
47 saved {'val_OrigRecLoss': 0.00221, 'val_FeatRecLoss': 0.00545, 'val_kl_Loss_Z': 3.06419, 'val_kl_Loss_FC': 1e-05}
48 saved {'val_OrigRecLoss': 0.00219, 'val_FeatRecLoss': 0.00518, 'val_kl_Loss_Z': 4.04994, 'val_kl_Loss_FC': 0.0}
49 saved {'val_OrigRecLoss': 0.00227, 'val_FeatRecLoss': 0.00481, 'val_kl_Loss_Z': 5.52568, 'val_kl_Loss_FC': 0.0}
