1 saved {'val_OrigRecLoss': 0.01011, 'val_FeatRecLoss': 0.00286, 'val_kl_Loss_Z': 1.95792, 'val_kl_Loss_FC': 4e-05}
2 saved {'val_OrigRecLoss': 0.01004, 'val_FeatRecLoss': 0.00277, 'val_kl_Loss_Z': 2.61844, 'val_kl_Loss_FC': 1e-05}
3 saved {'val_OrigRecLoss': 0.01, 'val_FeatRecLoss': 0.00275, 'val_kl_Loss_Z': 2.6882, 'val_kl_Loss_FC': 1e-05}
4 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00274, 'val_kl_Loss_Z': 2.47475, 'val_kl_Loss_FC': 0.0}
5 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00273, 'val_kl_Loss_Z': 2.11851, 'val_kl_Loss_FC': 1e-05}
6 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00273, 'val_kl_Loss_Z': 1.89877, 'val_kl_Loss_FC': 1e-05}
7 saved {'val_OrigRecLoss': 0.00998, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.69973, 'val_kl_Loss_FC': 0.0}
8 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00272, 'val_kl_Loss_Z': 1.56934, 'val_kl_Loss_FC': 1e-05}
9 saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00272, 'val_kl_Loss_Z': 1.50904, 'val_kl_Loss_FC': 1e-05}
10 not saved {'val_OrigRecLoss': 0.00997, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.4214, 'val_kl_Loss_FC': 0.0}
11 saved {'val_OrigRecLoss': 0.00996, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.37115, 'val_kl_Loss_FC': 1e-05}
12 saved {'val_OrigRecLoss': 0.00994, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.35013, 'val_kl_Loss_FC': 0.0}
13 saved {'val_OrigRecLoss': 0.00994, 'val_FeatRecLoss': 0.0027, 'val_kl_Loss_Z': 1.32416, 'val_kl_Loss_FC': 1e-05}
14 saved {'val_OrigRecLoss': 0.00991, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.28747, 'val_kl_Loss_FC': 1e-05}
15 saved {'val_OrigRecLoss': 0.0099, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.27102, 'val_kl_Loss_FC': 1e-05}
16 saved {'val_OrigRecLoss': 0.00988, 'val_FeatRecLoss': 0.00269, 'val_kl_Loss_Z': 1.21862, 'val_kl_Loss_FC': 0.0}
17 not saved {'val_OrigRecLoss': 0.00988, 'val_FeatRecLoss': 0.00271, 'val_kl_Loss_Z': 1.21713, 'val_kl_Loss_FC': 1e-05}
18 saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.0027, 'val_kl_Loss_Z': 1.17948, 'val_kl_Loss_FC': 2e-05}
19 saved {'val_OrigRecLoss': 0.00987, 'val_FeatRecLoss': 0.0027, 'val_kl_Loss_Z': 1.16281, 'val_kl_Loss_FC': 1e-05}
20 saved {'val_OrigRecLoss': 0.00983, 'val_FeatRecLoss': 0.00269, 'val_kl_Loss_Z': 1.14949, 'val_kl_Loss_FC': 1e-05}
21 not saved {'val_OrigRecLoss': 0.00985, 'val_FeatRecLoss': 0.00269, 'val_kl_Loss_Z': 1.13077, 'val_kl_Loss_FC': 0.0}
22 saved {'val_OrigRecLoss': 0.00982, 'val_FeatRecLoss': 0.0027, 'val_kl_Loss_Z': 1.10761, 'val_kl_Loss_FC': 1e-05}
