51 saved {'val_OrigRecLoss': 0.00933, 'val_FeatRecLoss': 0.00048, 'val_kl_Loss_Z': 1.00675}
52 saved {'val_OrigRecLoss': 0.00921, 'val_FeatRecLoss': 0.00046, 'val_kl_Loss_Z': 1.00355}
53 not saved {'val_OrigRecLoss': 0.00923, 'val_FeatRecLoss': 0.00045, 'val_kl_Loss_Z': 0.97001}
54 saved {'val_OrigRecLoss': 0.00896, 'val_FeatRecLoss': 0.00043, 'val_kl_Loss_Z': 0.97264}
55 saved {'val_OrigRecLoss': 0.00891, 'val_FeatRecLoss': 0.00042, 'val_kl_Loss_Z': 0.93669}
56 not saved {'val_OrigRecLoss': 0.00897, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_Z': 0.91918}
57 saved {'val_OrigRecLoss': 0.00871, 'val_FeatRecLoss': 0.00039, 'val_kl_Loss_Z': 0.92049}
58 saved {'val_OrigRecLoss': 0.00864, 'val_FeatRecLoss': 0.00037, 'val_kl_Loss_Z': 0.91144}
59 saved {'val_OrigRecLoss': 0.00853, 'val_FeatRecLoss': 0.00036, 'val_kl_Loss_Z': 0.90915}
60 saved {'val_OrigRecLoss': 0.00848, 'val_FeatRecLoss': 0.00034, 'val_kl_Loss_Z': 0.89689}
61 saved {'val_OrigRecLoss': 0.00835, 'val_FeatRecLoss': 0.00032, 'val_kl_Loss_Z': 0.89897}
62 saved {'val_OrigRecLoss': 0.00822, 'val_FeatRecLoss': 0.00031, 'val_kl_Loss_Z': 0.86523}
63 saved {'val_OrigRecLoss': 0.00818, 'val_FeatRecLoss': 0.0003, 'val_kl_Loss_Z': 0.86477}
64 not saved {'val_OrigRecLoss': 0.00828, 'val_FeatRecLoss': 0.00029, 'val_kl_Loss_Z': 0.85578}
65 saved {'val_OrigRecLoss': 0.00796, 'val_FeatRecLoss': 0.00028, 'val_kl_Loss_Z': 0.86463}
66 saved {'val_OrigRecLoss': 0.00792, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.8559}
67 saved {'val_OrigRecLoss': 0.0079, 'val_FeatRecLoss': 0.00027, 'val_kl_Loss_Z': 0.82128}
68 not saved {'val_OrigRecLoss': 0.00791, 'val_FeatRecLoss': 0.00026, 'val_kl_Loss_Z': 0.81336}
69 saved {'val_OrigRecLoss': 0.00777, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.80673}
70 saved {'val_OrigRecLoss': 0.00764, 'val_FeatRecLoss': 0.00025, 'val_kl_Loss_Z': 0.79611}
71 saved {'val_OrigRecLoss': 0.00753, 'val_FeatRecLoss': 0.00024, 'val_kl_Loss_Z': 0.78406}
72 not saved {'val_OrigRecLoss': 0.00754, 'val_FeatRecLoss': 0.00023, 'val_kl_Loss_Z': 0.77374}
73 not saved {'val_OrigRecLoss': 0.00761, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.88552}
74 saved {'val_OrigRecLoss': 0.00733, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.75529}
75 saved {'val_OrigRecLoss': 0.0073, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.7609}
76 saved {'val_OrigRecLoss': 0.00723, 'val_FeatRecLoss': 0.00021, 'val_kl_Loss_Z': 0.80986}
77 saved {'val_OrigRecLoss': 0.0072, 'val_FeatRecLoss': 0.00022, 'val_kl_Loss_Z': 0.7493}
